Penetration,UCS,BTS,Thrust,Torque,CL,Alpha,FS,B1,B2,B3,B4,B5,Bi,SE,TqDTh
4.318,199.6032233,9.273448542,14819.98867,986.3887378,246.9998111,25,0.8,21.52416357,0.91120647,104.4383359,925.5051098,30.42211547,4.201495966,36664.59141,0.066557995
4.318,199.2584854,9.3286066,15053.25341,1018.095896,250.8875568,21,1.6,21.35994087,0.910554325,104.293546,929.402011,30.48609537,4.200926133,37843.16327,0.067632947
3.81,198.9137475,9.10107961,14823.47607,948.6386988,247.0579345,20,2,21.85606061,0.912495857,104.0074136,905.1649258,30.08595895,4.193926795,39962.92281,0.063995698
5.588,189.6058252,8.963184464,15560.47077,1355.572541,259.3411795,42,0.2,21.15384615,0.909722222,99.28450483,849.7359934,29.15023145,4.140816981,38935.67857,0.087116422
4.318,188.9163495,9.032132037,16519.58297,1482.809276,275.3263828,40,2,20.91603053,0.908742598,98.97424075,853.1587062,29.2088806,4.138632845,55116.80551,0.089760697
4.826,168.2320776,9.790555338,16912.44545,1315.090528,281.8740908,41,1.6,17.18309859,0.890007746,89.01131648,823.5427328,28.69743425,4.036617219,43737.07293,0.077758745
4.826,174.0926213,9.928450483,17481.51089,1616.421066,291.3585148,35,2,17.53472222,0.892094417,92.0105359,864.2349851,29.39787382,4.074170172,53758.67633,0.092464609
5.842,177.8847378,10.06634563,14008.93108,1396.443673,233.4821846,61,0.4,17.67123288,0.892883346,93.97554173,895.3246265,29.92197565,4.099003262,38365.71112,0.099682386
6.096,180.6426407,10.1352932,17037.94313,1713.988437,283.9657188,55,0.2,17.82312925,0.893747741,95.38896697,915.4330643,30.25612441,4.116203942,45127.81559,0.100598319
6.096,184.0900194,10.20424077,15551.85901,1799.903909,259.1976502,49,0.4,18.04054054,0.894960965,97.14713008,939.2494409,30.64717672,4.137105498,47389.89476,0.115735611
6.096,192.3637281,10.34213592,15170.16601,1591.229969,252.8361002,32,0.4,18.6,0.897959184,101.352932,994.7259111,31.53927569,4.185634562,41895.69255,0.10489206
5.842,190.9847767,10.41108349,15062.54129,1580.373935,251.0423549,34,0.4,18.34437086,0.89661075,100.6979301,994.1792278,31.53060779,4.179501489,43418.98713,0.104920803
